,date,total_precipitation_sum,potential_evaporation_sum,temperature_2m_mean,surface_net_solar_radiation_mean,snow_depth_water_equivalent_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,streamflow
305,1981-11-02,0.0,15.6,19.06,137.15,0.0,0.29,0.31,0.23,0.11
306,1981-11-03,0.09,15.07,19.59,124.44,0.0,0.28,0.3,0.23,0.1
307,1981-11-04,0.49,11.18,20.36,123.64,0.0,0.28,0.3,0.23,0.1
308,1981-11-05,0.44,11.82,20.27,124.02,0.0,0.28,0.29,0.23,0.1
309,1981-11-06,0.0,23.93,16.76,160.24,0.0,0.27,0.29,0.23,0.1
310,1981-11-07,0.0,24.81,13.08,164.3,0.0,0.26,0.28,0.23,0.09
311,1981-11-08,0.0,18.13,13.82,160.0,0.0,0.25,0.28,0.23,0.09
312,1981-11-09,2.79,10.09,14.96,88.55,0.0,0.25,0.28,0.23,0.09
313,1981-11-10,24.83,5.25,13.91,48.9,0.0,0.37,0.32,0.23,0.17
314,1981-11-11,0.34,15.01,13.86,153.19,0.0,0.36,0.34,0.24,0.34
315,1981-11-12,0.0,15.14,12.57,156.67,0.0,0.34,0.33,0.24,0.56
316,1981-11-13,0.0,16.92,11.31,131.35,0.0,0.32,0.33,0.24,0.45
317,1981-11-14,0.0,15.53,10.62,155.87,0.0,0.31,0.32,0.24,0.32
318,1981-11-15,0.0,16.27,12.53,152.46,0.0,0.3,0.31,0.24,0.25
319,1981-11-16,2.35,10.18,14.35,61.16,0.0,0.31,0.31,0.24,0.21
320,1981-11-17,0.0,22.79,13.41,148.61,0.0,0.3,0.31,0.24,0.19
321,1981-11-18,0.0,18.73,13.57,149.97,0.0,0.29,0.3,0.24,0.17
322,1981-11-19,1.53,8.07,17.91,69.96,0.0,0.29,0.3,0.24,0.16
323,1981-11-20,1.26,23.72,10.48,147.95,0.0,0.3,0.3,0.24,0.21
324,1981-11-21,0.0,16.84,6.07,149.4,0.0,0.29,0.29,0.24,0.17
325,1981-11-22,0.0,12.29,6.92,126.41,0.0,0.28,0.29,0.24,0.16
326,1981-11-23,0.06,15.48,11.27,133.86,0.0,0.28,0.29,0.24,0.15
327,1981-11-24,3.57,18.59,13.48,131.23,0.0,0.3,0.29,0.24,0.16
328,1981-11-25,0.0,14.77,10.36,141.25,0.0,0.29,0.28,0.24,0.15
329,1981-11-26,0.0,14.16,14.21,137.43,0.0,0.28,0.28,0.24,0.15
330,1981-11-27,0.87,9.64,19.16,88.63,0.0,0.28,0.28,0.24,0.15
331,1981-11-28,0.03,16.38,15.96,132.69,0.0,0.27,0.28,0.24,0.15
332,1981-11-29,0.0,16.99,13.55,117.21,0.0,0.27,0.27,0.24,0.15
333,1981-11-30,1.86,8.43,17.08,58.59,0.0,0.26,0.27,0.24,0.15
334,1981-12-01,12.55,10.09,18.94,60.36,0.0,0.32,0.28,0.24,0.17
335,1981-12-02,0.0,22.12,11.95,139.14,0.0,0.32,0.3,0.24,0.19
336,1981-12-03,0.0,19.04,10.56,134.3,0.0,0.3,0.3,0.24,0.29
337,1981-12-04,0.0,29.57,10.3,138.09,0.0,0.29,0.29,0.24,0.29
338,1981-12-05,0.0,17.79,6.51,138.49,0.0,0.28,0.29,0.24,0.23
339,1981-12-06,0.0,9.98,6.22,82.66,0.0,0.28,0.29,0.24,0.2
340,1981-12-07,0.0,17.2,9.55,134.53,0.0,0.27,0.28,0.24,0.18
341,1981-12-08,0.03,17.9,13.25,107.29,0.0,0.27,0.28,0.24,0.18
342,1981-12-09,0.0,23.7,8.57,132.84,0.0,0.26,0.28,0.24,0.17
343,1981-12-10,0.0,21.77,3.84,135.69,0.0,0.26,0.28,0.24,0.16
344,1981-12-11,0.0,17.54,5.27,122.44,0.0,0.25,0.27,0.24,0.16
345,1981-12-12,9.22,3.14,4.68,13.24,0.0,0.3,0.27,0.24,0.17
346,1981-12-13,0.42,5.97,7.57,39.16,0.0,0.33,0.28,0.24,0.22
347,1981-12-14,27.7,1.03,11.74,15.55,0.0,0.38,0.33,0.24,0.44
348,1981-12-15,7.5,7.79,7.19,37.8,0.0,0.38,0.38,0.25,0.74
349,1981-12-16,0.0,11.57,5.71,132.83,0.0,0.36,0.37,0.26,0.95
350,1981-12-17,6.26,5.92,9.62,70.67,0.0,0.36,0.36,0.26,0.86
351,1981-12-18,3.27,18.39,1.24,136.77,0.0,0.38,0.37,0.26,0.74
352,1981-12-19,0.0,14.0,-2.94,138.36,0.0,0.36,0.36,0.27,0.65
353,1981-12-20,0.0,10.82,-1.67,139.34,0.0,0.35,0.35,0.27,0.57
354,1981-12-21,1.32,8.35,3.14,43.35,0.0,0.34,0.35,0.27,0.49
355,1981-12-22,0.16,9.35,14.3,82.49,0.0,0.34,0.34,0.27,0.43
356,1981-12-23,1.98,3.96,14.79,36.67,0.0,0.35,0.34,0.27,0.4
357,1981-12-24,18.86,3.55,7.23,27.55,0.0,0.37,0.35,0.27,0.4
358,1981-12-25,11.66,3.48,8.2,43.63,0.0,0.38,0.39,0.29,0.83
359,1981-12-26,0.31,6.02,10.12,77.7,0.0,0.36,0.37,0.3,1.35
360,1981-12-27,15.09,7.5,11.64,100.49,0.0,0.38,0.39,0.31,1.6
361,1981-12-28,6.73,1.68,12.82,44.18,0.0,0.38,0.38,0.31,1.6
362,1981-12-29,1.32,11.16,11.26,35.59,0.0,0.38,0.39,0.32,1.83
363,1981-12-30,3.44,21.08,8.83,102.22,0.0,0.37,0.37,0.32,1.72
364,1981-12-31,35.74,0.88,9.51,15.17,0.0,0.4,0.41,0.34,2.29
365,1982-01-01,0.5,4.74,11.91,61.13,0.0,0.38,0.39,0.36,2.42
366,1982-01-02,4.7,4.15,12.5,36.65,0.0,0.38,0.38,0.36,2.25
367,1982-01-03,34.18,3.57,18.56,57.35,0.0,0.39,0.4,0.36,2.29
368,1982-01-04,11.0,24.84,12.99,137.05,0.0,0.39,0.41,0.39,2.55
369,1982-01-05,0.0,15.61,7.14,141.32,0.0,0.37,0.39,0.39,2.63
370,1982-01-06,0.01,10.72,12.33,111.97,0.0,0.36,0.37,0.39,2.82
371,1982-01-07,16.14,1.38,16.18,32.13,0.0,0.39,0.38,0.39,3.01
372,1982-01-08,0.08,18.41,6.88,132.93,0.0,0.38,0.39,0.39,3.74
